descripcion|precio|tipo|ubicacion|fecha_publicacion|area|num_habitaciones
Casa De Venta V130 Embajada Americana|$ 155.000|Casa|Kennedy, Centro Norte|04 de abril|170m²|3 habitaciones
Casa Rentera En Venta Sector San Jose De Moran Quito Norte Af1715|$ 70.000|Casa|Carcelen, Norte De Quito|04 de abril|100m²|6 habitaciones
Yaruqu Casa Independiente En Venta Con Terreno 5 Habitaciones 300 M2|$ 220.000|Casa|Yaruqui, Valle Tumbaco|07 de abril|300m²|6 habitaciones
Hermosa Casa En Conjunto Sector San Rafael|$ 120.000|Casa|Amaguaña, Sur De Quito|06 de abril|232m²|3 habitaciones
Vendo Casa Rentera De Oportunidad Jaime Roldos|$ 190.000|Casa|San Antonio De Pichincha, Norte De Quito|11 de abril|900m²|6 habitaciones
Venta / Renta Casa De 4 Dormi, Sector Cumbaya|$ 520.000|Casa|Cumbaya, Valle Tumbaco|08 de abril|700m²|4 habitaciones
Hermosa Casa De Venta Sector La Primavera|$ 264.000|Casa|Cumbaya, Valle Tumbaco|05 de abril|237m²|3 habitaciones
CXC Venta De Casa Local / Santo Thomas / Sur De Quito / Exp.3367|$ 85.000|Casa|Belisario Quevedo, Centro Norte|29 de marzo|192m²|4 habitaciones
Venta De Casa Ubicada En Pillagua Cumbaya|$ 520.000|Casa|Cumbaya, Valle Tumbaco|07 de abril|620m²|4 habitaciones
Venta Casa Cumbaya 145m Conjunto Con Piscina Gym 2 Plantas Mas Patio|$ 177.000|Casa|Cumbaya, Valle Tumbaco|06 de abril|145m²|3 habitaciones
Venta De Casa En Caldern, Para Credito Vip|$ 70.000|Casa|Calderón, Norte De Quito|30 de marzo|93m²|3 habitaciones
Casa En Venta En Cumbay 189 M2 Sector Tanda|$ 280.074|Casa|Rumipamba, Centro Norte|14 de marzo|280m²|3 habitaciones
Venta De Casa En La Via/ Tumbaco|$ 460.000|Casa|Tumbaco, Valle Tumbaco|31 de marzo|800m²|3 habitaciones
Venta, Casa Rentera Ciudadela La Paulina, Sector Chillogallo.|$ 148.000|Casa|Chillogallo, Sur De Quito|16 de marzo|293m²|7 habitaciones
